,,median,75_per_quantile,25_per_quantile
16,35,82.91157,126.8449497,25.10241413
16,40,76.65721,120.2601013,19.71993208
16,45,69.68474,112.8319988,15.72275257
16,50,64.34819,104.5277977,11.37757587
16,55,57.881462,97.60933304,6.767153263
17,0,53.045723,90.70789909,1.179432869
17,5,45.79782,82.94026756,-3.744660378
17,10,38.264023,74.5249939,-7.201336861
17,15,30.035637,65.24541664,-11.99165225
17,20,22.695412,56.48031044,-17.24376059
17,25,15.149366,47.23570633,-19.64919233
17,30,6.8133574,38.79280376,-24.80143309
17,35,-0.47672653,32.47368908,-28.99153185
17,40,-7.303035,23.90344477,-34.77417183
17,45,-13.326031,17.47091722,-41.09307384
17,50,-19.350243,11.45605755,-48.23630428
17,55,-24.115082,4.317595243,-53.40961075
18,0,-29.110668,-2.709748268,-59.78248596
18,5,-30.18617,-4.860671639,-60.36474133
18,10,-32.31989,-6.993607163,-61.07632065
18,15,-33.954987,-9.227806091,-62.55548096
18,20,-34.935604,-11.65148926,-64.24673843
18,25,-36.232273,-14.24766994,-64.48650932
18,30,-38.136116,-15.56845951,-65.64584541
18,35,-40.330765,-17.8548975,-66.62563896
18,40,-42.216652,-19.99731922,-68.45050049
18,45,-43.77904,-21.36998129,-69.44985008
18,50,-44.815025,-22.85457611,-69.48854065
18,55,-46.3487,-24.06043196,-69.82180405
19,0,-47.260796,-25.15310764,-71.4751091
19,5,-47.259983,-25.48829794,-70.54431152
19,10,-47.167286,-26.62533092,-69.79118538
19,15,-48.253593,-27.07276154,-69.15544319
19,20,-49.51587,-28.16534233,-69.44462585
19,25,-49.556576,-29.87835169,-69.67032242
19,30,-48.974304,-30.35563087,-69.63382339
19,35,-47.84615,-29.54030704,-68.24033737
19,40,-46.887436,-28.67066526,-67.47760773
19,45,-46.186493,-27.86758471,-66.78642082
19,50,-45.487263,-26.98692179,-66.13727379
19,55,-44.320328,-26.1396513,-65.16057968
20,0,-43.05517,-25.37713718,-64.15435982
20,5,-42.399075,-25.03484344,-63.74462986
20,10,-41.34973,-24.31879044,-62.69332981
20,15,-41.133842,-24.32672119,-62.24954128
20,20,-40.568344,-24.18842888,-62.29835987
20,25,-39.938393,-23.87717056,-61.73252869
20,30,-39.599174,-22.78373051,-61.06217957
20,35,-39.333347,-22.44504499,-60.00102806
20,40,-38.602486,-22.03045416,-59.4293108
20,45,-38.105278,-21.72412729,-58.6094389
20,50,-38.489876,-20.91732645,-58.14404392
20,55,-37.22841,-20.43326902,-58.37281799
21,0,-36.33023,-19.92876101,-58.05704594
21,5,-37.346016,-20.80881262,-58.49650478
21,10,-38.311676,-21.48946333,-58.84206772
21,15,-39.235943,-22.06298208,-59.18136024
21,20,-40.010033,-22.51138592,-59.62501621
21,25,-39.99054,-22.98364687,-59.83474731
21,30,-40.376034,-23.41880083,-59.67431164
21,35,-40.94033,-23.19630384,-59.6822958
21,40,-40.985226,-23.86164474,-59.59789944
21,45,-41.104248,-23.8779192,-59.66736794
21,50,-41.219322,-23.75194836,-59.75485229
21,55,-41.44719,-23.9798913,-59.83733654
22,0,-41.49089,-24.05505848,-59.68564129
22,5,-41.73532,-24.12255669,-59.60839748
22,10,-42.243553,-24.33512592,-59.6197567
22,15,-42.114845,-24.59586668,-59.45053482
22,20,-42.006508,-25.12220716,-59.1755991
22,25,-41.66277,-25.22449684,-59.16424847
22,30,-41.562534,-24.73238897,-58.96735859
22,35,-41.29635,-24.22038364,-58.66943169
22,40,-41.32911,-23.9429903,-58.37547207
22,45,-41.393986,-24.01594067,-58.34060383
22,50,-41.299095,-23.6594677,-58.13088512
22,55,-41.219685,-23.47884083,-57.97917461
23,0,-40.95086,-23.50770283,-57.76733971
23,5,-40.74064,-23.22266197,-57.34742165
23,10,-40.541245,-23.28928947,-57.18542957
23,15,-40.711586,-23.75742722,-57.09217548
23,20,-40.579063,-23.96064901,-57.5229454
23,25,-40.53666,-23.90399504,-56.96604633
23,30,-41.086403,-24.5728302,-56.56760693
23,35,-40.93366,-24.60494089,-56.63610744
23,40,-41.12216,-24.35428047,-56.70407486
23,45,-40.6711,-23.45296955,-56.85013199
23,50,-40.62236,-23.90014696,-57.03401375
23,55,-40.431126,-23.81572294,-57.26568222
